"module name","licenses"
"@next/env@14.2.10","MIT"
"@next/swc-linux-x64-gnu@14.2.10","MIT"
"@next/swc-linux-x64-musl@14.2.10","MIT"
"@playwright/test@1.46.0","Apache-2.0"
"@swc/counter@0.1.3","Apache-2.0"
"@swc/helpers@0.5.5","Apache-2.0"
"busboy@1.6.0","MIT"
"caniuse-lite@1.0.30001669","CC-BY-4.0"
"client-only@0.0.1","MIT"
"graceful-fs@4.2.11","ISC"
"js-tokens@4.0.0","MIT"
"lodash@4.17.21","MIT"
"loose-envify@1.4.0","MIT"
"nanoid@3.3.7","MIT"
"next@14.2.10","MIT"
"picocolors@1.1.0","ISC"
"playwright-core@1.46.0","Apache-2.0"
"playwright@1.46.0","Apache-2.0"
"postcss@8.4.31","MIT"
"react-dom@18.3.1","MIT"
"react@18.3.1","MIT"
"scheduler@0.23.2","MIT"
"source-map-js@1.2.1","BSD-3-Clause"
"streamsearch@1.1.0","MIT"
"styled-jsx@5.1.1","MIT"
"tslib@2.3.0","0BSD"
"tslib@2.7.0","0BSD"

